"date","track","raceNumber","startTime","raceURL"
"2025-04-14","Ballarat","R1","10:51","https://www.odds.com.au/greyhounds/ballarat-20250414/14-races-today-race-1/"
"2025-04-14","Ballarat","R2","11:07","https://www.odds.com.au/greyhounds/ballarat-20250414/sweet-nettys-catering-race-2/"
"2025-04-14","Ballarat","R3","11:30","https://www.odds.com.au/greyhounds/ballarat-20250414/sportsbet-we-let-the-dogs-out-race-3/"
"2025-04-14","Ballarat","R4","11:46","https://www.odds.com.au/greyhounds/ballarat-20250414/national-greyhound-adoption-month-race-4/"
"2025-04-14","Ballarat","R5","12:02","https://www.odds.com.au/greyhounds/ballarat-20250414/a1-signage-race-5/"
"2025-04-14","Ballarat","R6","12:17","https://www.odds.com.au/greyhounds/ballarat-20250414/tudor-electrical-race-6/"
"2025-04-14","Ballarat","R7","12:32","https://www.odds.com.au/greyhounds/ballarat-20250414/southern-sheetmetal-race-7/"
"2025-04-14","Ballarat","R8","12:54","https://www.odds.com.au/greyhounds/ballarat-20250414/eureka-concrete-race-8/"
"2025-04-14","Ballarat","R9","13:14","https://www.odds.com.au/greyhounds/ballarat-20250414/rsn-grey-areas-wednesday-friday-race-9/"
"2025-04-14","Ballarat","R10","13:41","https://www.odds.com.au/greyhounds/ballarat-20250414/sportsbet-set-a-deposit-limit-race-10/"
"2025-04-14","Ballarat","R11","13:57","https://www.odds.com.au/greyhounds/ballarat-20250414/town-country-line-marking-race-11/"
"2025-04-14","Ballarat","R12","14:14","https://www.odds.com.au/greyhounds/ballarat-20250414/two-more-races-to-go-race-12/"
"2025-04-14","Ballarat","R13","14:37","https://www.odds.com.au/greyhounds/ballarat-20250414/ballarat-race-13-race-13/"
"2025-04-14","Ballarat","R14","14:52","https://www.odds.com.au/greyhounds/ballarat-20250414/ballarat-race-14-race-14/"
"2025-04-14","Shepparton","R1","14:41","https://www.odds.com.au/greyhounds/shepparton-20250414/13-races-today-race-1/"
"2025-04-14","Shepparton","R2","15:02","https://www.odds.com.au/greyhounds/shepparton-20250414/elite-collars-leads-race-2/"
"2025-04-14","Shepparton","R3","15:21","https://www.odds.com.au/greyhounds/shepparton-20250414/national-greyhound-adoption-month-race-3/"
"2025-04-14","Shepparton","R4","15:37","https://www.odds.com.au/greyhounds/shepparton-20250414/nagambie-gutter-cleaning-race-4/"
"2025-04-14","Shepparton","R5","16:00","https://www.odds.com.au/greyhounds/shepparton-20250414/sportsbet-final-275-rank-race-5/"
"2025-04-14","Shepparton","R6","16:19","https://www.odds.com.au/greyhounds/shepparton-20250414/shepparton-workwear-safety-race-6/"
"2025-04-14","Shepparton","R7","16:39","https://www.odds.com.au/greyhounds/shepparton-20250414/ckh-painting-race-7/"
"2025-04-14","Shepparton","R8","16:54","https://www.odds.com.au/greyhounds/shepparton-20250414/happy-birthday-paula-race-8/"
"2025-04-14","Shepparton","R9","17:14","https://www.odds.com.au/greyhounds/shepparton-20250414/gpp-laser3300-1-3-wins-race-9/"
"2025-04-14","Shepparton","R10","17:37","https://www.odds.com.au/greyhounds/shepparton-20250414/mms-access-race-10/"
"2025-04-14","Shepparton","R11","17:54","https://www.odds.com.au/greyhounds/shepparton-20250414/sportsbet-make-it-a-multi-race-11/"
"2025-04-14","Shepparton","R12","18:13","https://www.odds.com.au/greyhounds/shepparton-20250414/one-more-race-to-go-race-12/"
"2025-04-14","Shepparton","R13","18:32","https://www.odds.com.au/greyhounds/shepparton-20250414/shepparton-race-13-race-13/"
"2025-04-14","Warrnambool","R1","14:22","https://www.odds.com.au/greyhounds/warrnambool-20250414/13-races-today-300-rank-race-1/"
"2025-04-14","Warrnambool","R2","14:44","https://www.odds.com.au/greyhounds/warrnambool-20250414/maceys-bistro-300-rank-race-2/"
"2025-04-14","Warrnambool","R3","15:12","https://www.odds.com.au/greyhounds/warrnambool-20250414/sportsbet-set-a-deposit-limit-300-race-3/"
"2025-04-14","Warrnambool","R4","15:27","https://www.odds.com.au/greyhounds/warrnambool-20250414/matko-hire-300-rank-race-4/"
"2025-04-14","Warrnambool","R5","15:47","https://www.odds.com.au/greyhounds/warrnambool-20250414/cassign-design-300-rank-race-5/"
"2025-04-14","Warrnambool","R6","16:07","https://www.odds.com.au/greyhounds/warrnambool-20250414/edwards-electrical-300-rank-race-6/"
"2025-04-14","Warrnambool","R7","16:27","https://www.odds.com.au/greyhounds/warrnambool-20250414/national-greyhound-adoption-month-300-race-7/"
"2025-04-14","Warrnambool","R8","16:47","https://www.odds.com.au/greyhounds/warrnambool-20250414/paddy-wants-pats-300-rank-race-8/"
"2025-04-14","Warrnambool","R9","17:07","https://www.odds.com.au/greyhounds/warrnambool-20250414/broad-tree-care-300-rank-race-9/"
"2025-04-14","Warrnambool","R10","17:25","https://www.odds.com.au/greyhounds/warrnambool-20250414/sportsbet-make-it-a-multi-300-rank-race-10/"
"2025-04-14","Warrnambool","R11","17:48","https://www.odds.com.au/greyhounds/warrnambool-20250414/rsn-grey-areas-wednesday-friday-300-race-11/"
"2025-04-14","Warrnambool","R12","18:03","https://www.odds.com.au/greyhounds/warrnambool-20250414/one-more-race-to-go-300-rank-race-12/"
"2025-04-14","Warrnambool","R13","18:22","https://www.odds.com.au/greyhounds/warrnambool-20250414/warrnambool-race-13-300-rank-race-13/"
"2025-04-14","Sandown Park","R1","18:38","https://www.odds.com.au/greyhounds/sandown-park-20250414/national-greyhound-adoption-month-race-1/"
"2025-04-14","Sandown Park","R2","18:59","https://www.odds.com.au/greyhounds/sandown-park-20250414/greyhoundfactscomau-race-2/"
"2025-04-14","Sandown Park","R3","19:24","https://www.odds.com.au/greyhounds/sandown-park-20250414/toongabbie-lodge-1-3-wins-race-3/"
"2025-04-14","Sandown Park","R4","19:44","https://www.odds.com.au/greyhounds/sandown-park-20250414/sandowngreyhoundscomau-race-4/"
"2025-04-14","Sandown Park","R5","20:04","https://www.odds.com.au/greyhounds/sandown-park-20250414/sportsbet-ht1-1-6-wins-race-5/"
"2025-04-14","Sandown Park","R6","20:24","https://www.odds.com.au/greyhounds/sandown-park-20250414/sportsbet-ht1-1-6-wins-race-6/"
"2025-04-14","Sandown Park","R7","20:44","https://www.odds.com.au/greyhounds/sandown-park-20250414/sandown-vet-clinic-race-7/"
"2025-04-14","Sandown Park","R8","21:04","https://www.odds.com.au/greyhounds/sandown-park-20250414/greyhounds-entertainment-race-8/"
"2025-04-14","Sandown Park","R9","21:24","https://www.odds.com.au/greyhounds/sandown-park-20250414/thr33-series-ht1-race-9/"
"2025-04-14","Sandown Park","R10","21:45","https://www.odds.com.au/greyhounds/sandown-park-20250414/thr33-series-ht2-race-10/"
"2025-04-14","Sandown Park","R11","22:08","https://www.odds.com.au/greyhounds/sandown-park-20250414/thr33-series-ht3-race-11/"
"2025-04-14","Sandown Park","R12","22:23","https://www.odds.com.au/greyhounds/sandown-park-20250414/greyhound-adoption-program-race-12/"
"2025-04-14","Launceston","R1","19:18","https://www.odds.com.au/greyhounds/launceston-20250414/ladbrokes-same-race-multi-race-1/"
"2025-04-14","Launceston","R2","19:37","https://www.odds.com.au/greyhounds/launceston-20250414/kingsley-jarman-fencing-race-2/"
"2025-04-14","Launceston","R3","19:57","https://www.odds.com.au/greyhounds/launceston-20250414/greyhounds-as-pets-race-3/"
"2025-04-14","Launceston","R4","20:17","https://www.odds.com.au/greyhounds/launceston-20250414/lgrc-membership-still-available-race-4/"
"2025-04-14","Launceston","R5","20:37","https://www.odds.com.au/greyhounds/launceston-20250414/put-your-quaddies-on-race-5/"
