"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Sale","R1","1 Twisted Fantasy (1)","Win",4,3.9,3.9,3.9,4.05,3.8,3.9,14,3.9,4,4,4,3.8
"Sale","R1","2 Bruce (2)","Win",5.5,5,5,5,5.1,5,5.2,21,4.8,5,5,5,5
"Sale","R1","3 Be Gracious (3)","Win",15,13,14,13,14.2,14,13,150,13,14,14,14,13
"Sale","R1","4 Somerton Willow (4)","Win",15,13,14,13,11,14,14,150,13,14,13,14,13
"Sale","R1","5 Shima Lexie (5)","Win",3,2.9,3,2.9,2.75,3,2.96,9.2,2.9,3,2.9,3,2.9
"Sale","R1","6 Jumbuk Bayeh (6)","Win",7,6.5,6.5,6.5,7.1,6.5,7,46,6.5,7,7,7,6.5
"Sale","R1","7 Lucky Harper (7)","Win",5,5,5,5,4.9,5,5.2,21,4.8,5,5,5,5
"Sale","R1","8 Woodside Vixen (8)","Win",15,13,14,13,13.6,14,14,150,13,14,14,14,13
"Sale","R1","1 Twisted Fantasy (1)","Place",1.6,1.55,1.45,1.35,1.52,1.53,1.32,1.5,1.4,1.5,1.55,"-","-"
"Sale","R1","2 Bruce (2)","Place",1.9,1.75,1.8,1.6,1.76,1.7,1.5,1.7,1.7,1.7,1.7,"-","-"
"Sale","R1","3 Be Gracious (3)","Place",3.5,2.9,3.4,2.9,3.25,3.2,2.6,3,3.2,3,2.7,"-","-"
"Sale","R1","4 Somerton Willow (4)","Place",3.5,2.9,3.4,2.9,2.55,3.1,2.6,3,3,3,2.7,"-","-"
"Sale","R1","5 Shima Lexie (5)","Place",1.44,1.4,1.32,1.27,1.26,1.36,1.19,1.35,1.3,1.35,1.4,"-","-"
"Sale","R1","6 Jumbuk Bayeh (6)","Place",2.15,2,2.15,1.95,2.05,1.91,1.75,2,2.15,2,1.95,"-","-"
"Sale","R1","7 Lucky Harper (7)","Place",1.8,1.75,1.8,1.65,1.6,1.67,1.5,1.7,1.75,1.7,1.7,"-","-"
"Sale","R1","8 Woodside Vixen (8)","Place",3.5,2.9,3.4,2.9,2.55,3,2.6,3,3.3,3,2.7,"-","-"
"Sale","R2","1 Quick Response (1)","Win",8,7.5,7.5,7.5,8.1,7.5,8,60,7.5,8,7.5,8,7.5
"Sale","R2","2 Skywalker Rose (2)","Win",4.8,4.6,4.8,4.6,4.65,4.6,4.8,19,4.5,4.8,4.6,4.8,4.6
"Sale","R2","3 Awesome Bindi (3)","Win",9,7.5,7.5,7.5,6,8,8,38,7.5,8,7,8,7.5
"Sale","R2","4 Trudy Gem (4)","Win",10,11,12,11,12.2,12,12,100,11,12,11,12,11
"Sale","R2","5 Reel Ritza (5)","Win",3.5,3.7,3.7,3.6,3.35,3.5,3.6,13,3.5,3.7,3.5,3.7,3.5
"Sale","R2","6 Riverbank Sandy (6)","Win",9,8,8,8,8.6,8,8.4,65,8,8.5,8.5,8.5,8
"Sale","R2","7 Be A Shadow (7)","Win",13,13,14,13,14.2,13,12,150,13,14,14,13,12
"Sale","R2","8 Daintree Bullet (8)","Win",3.5,3.1,3.2,3.1,3.25,3.2,3.2,12.5,3,3.2,3.2,3.2,3
"Sale","R2","1 Quick Response (1)","Place",2.4,2.1,2.25,2.1,2.25,2.1,1.85,2.2,2.25,2.2,2.05,"-","-"
"Sale","R2","2 Skywalker Rose (2)","Place",1.75,1.7,1.7,1.55,1.48,1.5,1.45,1.65,1.65,1.65,1.65,"-","-"
"Sale","R2","3 Awesome Bindi (3)","Place",2.7,2.1,2.25,2.1,2,2.2,1.85,2.2,2.15,2.2,2.1,"-","-"
"Sale","R2","4 Trudy Gem (4)","Place",2.9,2.7,3.1,2.6,2.95,3,2.4,2.8,2.9,2.8,2.6,"-","-"
"Sale","R2","5 Reel Ritza (5)","Place",1.5,1.55,1.45,1.35,1.44,1.5,1.29,1.45,1.37,1.45,1.55,"-","-"
"Sale","R2","6 Riverbank Sandy (6)","Place",2.7,2.2,2.35,2.15,2.15,2.1,1.95,2.3,2.35,2.3,2.1,"-","-"
"Sale","R2","7 Be A Shadow (7)","Place",3.5,2.9,3.5,2.9,3.35,3.1,2.6,3.1,3.3,3,2.6,"-","-"
"Sale","R2","8 Daintree Bullet (8)","Place",1.5,1.45,1.38,1.3,1.41,1.4,1.23,1.4,1.35,1.4,1.4,"-","-"
"Sale","R3","1 Maryvale Girl (1)","Win",4.6,4.2,4.2,4.2,4.25,4.2,4.4,25,4,4.2,4.2,4.2,3.7
"Sale","R3","2 Somerton Teddy (2)","Win",10,9,9,9,8.3,9,9.4,120,8.5,9,9,9,8
"Sale","R3","3 Ignatius Rose (3)","Win",10,11,11,11,11.2,11,12,150,11,11,11,11,10
"Sale","R3","4 Whatever Jack (4)","Win",11,10,10,10,7.7,10,9.4,140,9.5,10,9,10,8.5
"Sale","R3","5 Somerton Mick (5)","Win",15,14,14,14,12.6,14,12.5,230,13,14,14,14,13
"Sale","R3","6 Lakeview Jude (6)","Win",3,2.9,2.9,2.9,2.75,2.8,2.96,9.4,2.75,2.9,2.8,2.9,2.6
"Sale","R3","7 Made Up Stories (7)","Win",3.8,4,4.2,4,4.25,4.2,4.2,21,3.9,4,4.2,4,3.6
"Sale","R3","8 Darnum Rain (8)","Win",8,7.5,7.5,7.5,8.1,7.5,8,65,7,7.5,8,7.5,7
"Sale","R3","1 Maryvale Girl (1)","Place",1.65,1.6,1.55,1.37,1.56,1.62,1.35,1.55,1.5,1.55,1.5,"-","-"
"Sale","R3","2 Somerton Teddy (2)","Place",2.85,2.3,2.45,2.25,2.2,2.38,2,2.35,2.4,2.35,2,"-","-"
"Sale","R3","3 Ignatius Rose (3)","Place",2.85,2.6,2.9,2.5,2.55,2.3,2.25,2.6,2.8,2.6,2.25,"-","-"
"Sale","R3","4 Whatever Jack (4)","Place",2.95,2.5,2.6,2.4,2,2.6,2.2,2.5,2.4,2.5,2.05,"-","-"
"Sale","R3","5 Somerton Mick (5)","Place",3.4,3,3.4,3,3.25,3.1,2.6,3.1,3.2,3.1,2.45,"-","-"
"Sale","R3","6 Lakeview Jude (6)","Place",1.4,1.4,1.3,1.27,1.34,1.33,1.16,1.3,1.3,1.3,1.3,"-","-"
"Sale","R3","7 Made Up Stories (7)","Place",1.55,1.55,1.55,1.37,1.56,1.57,1.32,1.5,1.5,1.5,1.45,"-","-"
"Sale","R3","8 Darnum Rain (8)","Place",2.45,2.1,2.35,2.1,2.15,2,1.8,2.1,2.25,2.1,1.85,"-","-"
"Sale","R4","1 Play Lab (1)","Win",9,8.5,8.5,8.5,8.6,8.5,7.6,1000,8,8.5,8.5,8.5,7.5
"Sale","R4","2 Xatu Bale (2)","Win",15,15,15,15,16.2,16,11.5,1000,15,15,15,15,13
"Sale","R4","3 Go Stevie (3)","Win",10,10,10,10,8.2,10,9.6,1000,9.5,10,9.5,10,9
"Sale","R4","4 Is He Lucky (4)","Win",15,13,13,13,13.2,13,11,1000,12,13,13,13,12
"Sale","R4","5 Jams Nimble (5)","Win",71,71,71,67,83,71,2.04,1000,67,71,81,71,61
"Sale","R4","6 My Name's Eden (6)","Win",1.8,1.7,1.75,1.7,1.5,1.75,1.68,2.8,1.65,1.7,1.65,1.7,1.55
"Sale","R4","7 Winking Willie (7)","Win",3.2,3.2,3.3,3.2,3.35,3.3,3.15,1000,3.1,3.2,3.3,3.2,2.9
"Sale","R4","8 Holly Rose (8)","Win",15,15,15,15,16.2,16,11.5,1000,15,15,16,15,13
"Sale","R4","1 Play Lab (1)","Place",2.05,1.9,2,1.75,1.7,1.95,1.65,1.9,1.9,1.9,1.75,"-","-"
"Sale","R4","2 Xatu Bale (2)","Place",3,2.6,2.9,2.4,2.65,2.75,2.25,2.6,2.6,2.6,2.2,"-","-"
"Sale","R4","3 Go Stevie (3)","Place",2.25,2.1,2.2,1.95,1.84,1.91,1.8,2.05,2.05,2.05,1.9,"-","-"
"Sale","R4","4 Is He Lucky (4)","Place",3,2.4,2.5,2.25,2.45,2.7,2.1,2.4,2.4,2.4,2.1,"-","-"
"Sale","R4","5 Jams Nimble (5)","Place",8.5,7,5.5,4.6,6.1,7,6,7,5.5,7,4.2,"-","-"
"Sale","R4","6 My Name's Eden (6)","Place",1.13,1.12,1.12,1.1,1.09,1.1,1.01,1.06,1.1,1.06,1.08,"-","-"
"Sale","R4","7 Winking Willie (7)","Place",1.29,1.3,1.28,1.22,1.19,1.22,1.09,1.22,1.25,1.22,1.25,"-","-"
"Sale","R4","8 Holly Rose (8)","Place",3,2.6,2.9,2.45,2.65,3,2.25,2.6,2.8,2.6,2.2,"-","-"
"Sale","R5","1 Dundee Dixie (1)","Win",4.4,4.6,4.6,4.6,4.45,4.6,4.4,1000,4.5,4.6,4.6,4.6,4
