"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Bendigo (VIC)","Race 1","1","","MAXED OUT (8)","Danielle Smith","24.43","0.00","6.88","S441","34.7kg","Aussie Infrared","Pat's Lass","$5.00"
"Bendigo (VIC)","Race 1","2","","BLUE CABANG (5)","Gregory Berry","24.59","2.37","6.96","M776","37.3kg","Bernardo","Stars And Lights","$21.00"
"Bendigo (VIC)","Race 1","3","","SOMETHING CLEVER (2)","Peter Craig","24.67","3.50","6.88","M565","34.2kg","Aston Kimetto","Popowski","$8.00"
"Bendigo (VIC)","Race 1","4","","AVIANNA (3)","Jeff Gorgioski","24.68","3.54","6.89","M654","28.4kg","Fernando Bale","Ayia Sophia","$4.20"
"Bendigo (VIC)","Race 1","5","","GREMLIN (4)","Susan Trim","24.71","4.00","6.81","M333","30.5kg","Fernando Bale","Naughty Cazza","$3.20"
"Bendigo (VIC)","Race 1","6","","VALKYRIE (1)","David Torr","24.83","5.75","6.70","M112","36.9kg","Bernardo","Eau Rouge","$6.50"
"Bendigo (VIC)","Race 1","7","","ZAP (6)","Alfred Debattista","24.92","7.09","6.72","M227","35.3kg","Zambora Brockie","Kung Fu Hustle","$15.00"
"Bendigo (VIC)","Race 1","8","","SCARLETT'S GEM (7)","John Mangion","25.29","12.26","7.03","M888","25.0kg","Zambora Brockie","Iona Champion","$10.00"
"Bendigo (VIC)","Race 1","SCR","","COCONUT OAKLAND","Paul Gabriel","","","","","","Sennachie","Foxy Whip",""
"Bendigo (VIC)","Race 1","SCR","","TESS CABANG","John Mangion","","","","","","Bernardo","Stars And Lights",""
"Bendigo (VIC)","Race 2","1","","OUR MATE BEAR (5)","Garry Johnson","24.46","0.00","6.78","Q341","27.7kg","Flying Ricciardo","Miss Morrisset","$23.00"
"Bendigo (VIC)","Race 2","2","","COCONUT CARTER (1)","Peter Gabriel","24.78","4.54","6.79","S452","34.1kg","Ebby Jet Power","Coconut Miss","$2.25"
"Bendigo (VIC)","Race 2","3","","MORE BOOST RICO (3)","Darren Petersen","24.96","7.13","6.76","M233","35.6kg","Hard Style Rico","Chill Easy","$26.00"
"Bendigo (VIC)","Race 2","4","","HIGHWAY HOOLIGAN (8)","Donna Knight","25.06","8.44","6.82","S524","33.2kg","Hard Style Rico","Zipping Cia","$4.00"
"Bendigo (VIC)","Race 2","5","","RUXTON SHINE (6)","Jason Whybrow","25.09","8.87","6.85","M866","28.8kg","Shima Shine","Flossing","$5.50"
"Bendigo (VIC)","Race 2","6","","VIKING (2)","Rachael Brown","25.20","10.53","6.71","Q115","31.9kg","Kayda Shae","Little Biddy","$7.50"
"Bendigo (VIC)","Race 2","7","","BASEMENT (4)","Cameron Taylor","25.34","12.57","6.84","M677","31.7kg","Fernando Bale","Desiree Devere","$6.50"
"Bendigo (VIC)","Race 2","8","","JACKPOT CASH (7)","Cody Hose","25.59","16.04","6.85","Q788","28.5kg","Aussie Infrared","Magic Lantern","$11.00"
"Bendigo (VIC)","Race 2","SCR","","CIRCLE ROUND","Adam Norris","","","","","","Wow","Gamma Bale",""
"Bendigo (VIC)","Race 2","SCR","","LONELY HUNTER","Daniel Pell","","","","","","Flying Ricciardo","Get Real",""
"Bendigo (VIC)","Race 3","1","","ANCHOR CRANKER (5)","Dylan Sharp","24.31","0.00","6.72","Q222","28.0kg","Bernardo","Boquilla","$4.20"
"Bendigo (VIC)","Race 3","2","","KOLTYN (2)","Carly Feltham","24.36","0.71","6.68","Q111","30.9kg","Mr. Audacious","Chatterbox Tilly","$3.00"
"Bendigo (VIC)","Race 3","3","","TIGER ROCKS (1)","Mario Briganti","24.38","0.91","6.77","M433","33.6kg","Hard Style Rico","Freda Rocks","$5.50"
"Bendigo (VIC)","Race 3","4","","ASTON LEWIS (4)","Peter Knott","24.85","7.69","6.81","M555","32.4kg","Hooked On Scotch","Aston Suzette","$13.00"
"Bendigo (VIC)","Race 3","5","","THERMAL IGNITION (6)","Cameron Taylor","24.86","7.77","6.72","Q344","28.2kg","Aussie Infrared","Faun Flame","$21.00"
"Bendigo (VIC)","Race 3","6","","WAVE IN SEA (7)","Martin Hanke","24.87","8.01","7.09","S666","34.3kg","Andy Palmer","Hoo Gur Affair","$15.00"
"Bendigo (VIC)","Race 3","SCR","","SIN CITY SECRETS","Bradley Greenough","","","","","","Black Magic Opal","She's Refined",""
"Bendigo (VIC)","Race 3","SCR","","GALLOPING PIPPY","Robert Conway","","","","","","Feral Franky","Dani Thrills",""
"Bendigo (VIC)","Race 3","SCR","","BLACK HOODOO","Suzanne Reaper","","","","","","Houdini Boy","Back To Boss",""
"Bendigo (VIC)","Race 3","SCR","","INTRIGUE","Jason Thompson","","","","","","Tommy Shelby","Immunity",""
"Bendigo (VIC)","Race 4","1","","STARSHIP ATLAS (4)","Jason Sharp","24.08","0.00","6.71","M432","30.9kg","Tommy Shelby","Starlight Amy","$5.00"
"Bendigo (VIC)","Race 4","2","","MY OPIE (3)","Debbie Bewley","24.16","1.14","6.63","M111","30.7kg","My Redeemer","Harper's Girl","$7.00"
"Bendigo (VIC)","Race 4","3","","SANDY CABANG (7)","Gregory Berry","24.24","2.23","6.67","M223","28.2kg","Beast Unleashed","Stars And Lights","$8.00"
"Bendigo (VIC)","Race 4","4","","JED'S MEMORY (5)","Jane Hooke","24.26","2.54","6.82","S866","33.1kg","Aston Dee Bee","White Ambush","$5.50"
"Bendigo (VIC)","Race 4","5","","RED SHIRAZ (1)","Paul Ellis","24.27","2.79","6.71","M554","30.0kg","Fernando Bale","Golden Shiraz","$6.00"
"Bendigo (VIC)","Race 4","6","","EVOLVE (8)","Ronald Kenworthy","24.31","3.33","6.75","S645","29.1kg","Bernardo","Utopia","$9.00"
"Bendigo (VIC)","Race 4","7","","STAR SIXTY SIX (6)","Jason Sharp","24.34","3.66","6.77","M777","33.5kg","Tommy Shelby","Starlight Amy","$4.20"
"Bendigo (VIC)","Race 4","8","","WILLOW SKYE (2)","Briana Robertson -Leech","24.72","9.16","6.70","M388","26.5kg","Orson Allen","Summer Skye","$12.00"
"Bendigo (VIC)","Race 4","SCR","","BASEMENT","Cameron Taylor","","","","","","Fernando Bale","Desiree Devere",""
"Bendigo (VIC)","Race 4","SCR","","VIKING","Rachael Brown","","","","","","Kayda Shae","Little Biddy",""
"Bendigo (VIC)","Race 5","1","","PAW XABIA (8)","Daniel Gibbons","23.84","0.00","6.54","M321","28.1kg","Tiggerlong Tonk","Dyna Zesty","$8.50"
"Bendigo (VIC)","Race 5","2","","LAMIA WHEEZE (5)","Lorenzo Carbone","24.04","2.87","6.54","M233","27.3kg","Aussie Infrared","Ice Gambler","$4.20"
"Bendigo (VIC)","Race 5","3","","ASTON ALIGHT (1)","Darren Archer","24.08","3.46","6.43","Q112","27.1kg","Fernando Bale","Aston Flame","$6.00"
"Bendigo (VIC)","Race 5","4","","PAW VERITY (2)","Daniel Gibbons","24.29","6.46","6.54","M444","31.5kg","Tiggerlong Tonk","Dyna Zesty","$15.00"
"Bendigo (VIC)","Race 5","5","","SCOTT GNARLY (4)","Emma Scott","24.40","8.06","6.81","S855","29.0kg","Bernardo","Amlin Fidget","$3.60"
"Bendigo (VIC)","Race 5","6","","HIGHLAND SAL (7)","Margaret Salvatore","24.52","9.73","6.76","M776","27.3kg","Aston Rupee","Invictus Reign","$10.00"
"Bendigo (VIC)","Race 5","7","","PAW MADDOX (6)","Correy Grenfell","24.66","11.73","6.69","M687","25.6kg","Feral Franky","Wendalin Bale","$4.60"
"Bendigo (VIC)","Race 5","8","","SCOTT SIGMA (3)","Lachlan Scott","24.69","12.17","6.68","M568","28.1kg","Bernardo","Amlin Fidget","$21.00"
"Bendigo (VIC)","Race 5","SCR","","TAKE WHATEVER","Adam Helleren","","","","","","Aston Rupee","Whatever I Want",""
"Bendigo (VIC)","Race 5","SCR","","DEMOLISH","Debbie Bewley","","","","","","My Redeemer","Harper's Girl",""
