"date","track","raceNumber","startTime","raceURL"
"2025-04-25","Warragul","R1","16:53","https://www.odds.com.au/greyhounds/warragul-20250425/we-will-remember-them-race-1/"
"2025-04-25","Warragul","R2","17:14","https://www.odds.com.au/greyhounds/warragul-20250425/lest-we-forget-race-2/"
"2025-04-25","Warragul","R3","17:33","https://www.odds.com.au/greyhounds/warragul-20250425/national-greyhound-adoption-month-race-3/"
"2025-04-25","Warragul","R4","17:51","https://www.odds.com.au/greyhounds/warragul-20250425/sportsbet-bs-responsibly-race-4/"
"2025-04-25","Warragul","R5","18:08","https://www.odds.com.au/greyhounds/warragul-20250425/viatek-race-5/"
"2025-04-25","Warragul","R6","18:27","https://www.odds.com.au/greyhounds/warragul-20250425/gday-chef-caterers-race-6/"
"2025-04-25","Warragul","R7","18:53","https://www.odds.com.au/greyhounds/warragul-20250425/oaks-super-box-race-7/"
"2025-04-25","Warragul","R8","19:19","https://www.odds.com.au/greyhounds/warragul-20250425/barn-bar-function-room-race-8/"
"2025-04-25","Warragul","R9","19:39","https://www.odds.com.au/greyhounds/warragul-20250425/m-c-grafix-signs-race-9/"
"2025-04-25","Warragul","R10","19:59","https://www.odds.com.au/greyhounds/warragul-20250425/rsn-grey-areas-wednesday-friday-race-10/"
"2025-04-25","Warragul","R11","20:23","https://www.odds.com.au/greyhounds/warragul-20250425/paua-of-buddy-at-stud-race-11/"
"2025-04-25","Warragul","R12","20:43","https://www.odds.com.au/greyhounds/warragul-20250425/sportsbet-make-it-a-multi-race-12/"
"2025-04-25","Geelong","R1","18:37","https://www.odds.com.au/greyhounds/geelong-20250425/lara-rsl-sub-branch-race-1/"
"2025-04-25","Geelong","R2","19:00","https://www.odds.com.au/greyhounds/geelong-20250425/grv-vicbred-maiden-series-final-race-2/"
"2025-04-25","Geelong","R3","19:23","https://www.odds.com.au/greyhounds/geelong-20250425/lest-we-forget-race-3/"
"2025-04-25","Geelong","R4","19:44","https://www.odds.com.au/greyhounds/geelong-20250425/sportsbet-set-a-deposit-limit-race-4/"
"2025-04-25","Geelong","R5","20:08","https://www.odds.com.au/greyhounds/geelong-20250425/we-will-remember-them-race-5/"
"2025-04-25","Geelong","R6","20:28","https://www.odds.com.au/greyhounds/geelong-20250425/grv-vicbred-distance-series-final-0-4w-race-6/"
"2025-04-25","Geelong","R7","20:52","https://www.odds.com.au/greyhounds/geelong-20250425/national-greyhound-adoption-month-race-7/"
"2025-04-25","Geelong","R8","21:12","https://www.odds.com.au/greyhounds/geelong-20250425/melbourne-container-park-race-8/"
"2025-04-25","Geelong","R9","21:36","https://www.odds.com.au/greyhounds/geelong-20250425/beachside-security-race-9/"
"2025-04-25","Geelong","R10","22:00","https://www.odds.com.au/greyhounds/geelong-20250425/np-electrical-damsels-dash-race-10/"
"2025-04-25","Geelong","R11","22:23","https://www.odds.com.au/greyhounds/geelong-20250425/topcat-video-productions-race-11/"
"2025-04-25","Geelong","R12","22:46","https://www.odds.com.au/greyhounds/geelong-20250425/sportsbet-every-dog-has-its-day-race-12/"
"2025-04-25","Healesville","R1","13:07","https://www.odds.com.au/greyhounds/healesville-20250425/we-will-remember-them-race-1/"
"2025-04-25","Healesville","R2","13:28","https://www.odds.com.au/greyhounds/healesville-20250425/lest-we-forget-race-2/"
"2025-04-25","Healesville","R3","13:46","https://www.odds.com.au/greyhounds/healesville-20250425/national-greyhound-adoption-month-race-3/"
"2025-04-25","Healesville","R4","14:09","https://www.odds.com.au/greyhounds/healesville-20250425/central-scaffolds-race-4/"
"2025-04-25","Healesville","R5","14:34","https://www.odds.com.au/greyhounds/healesville-20250425/mr-hummer-limos-1-2-wins-race-5/"
"2025-04-25","Healesville","R6","14:52","https://www.odds.com.au/greyhounds/healesville-20250425/gorski-engineering-race-6/"
"2025-04-25","Healesville","R7","15:07","https://www.odds.com.au/greyhounds/healesville-20250425/rsn-grey-areas-wednesday-friday-race-7/"
"2025-04-25","Healesville","R8","15:30","https://www.odds.com.au/greyhounds/healesville-20250425/sportsbet-green-ticks-race-8/"
"2025-04-25","Healesville","R9","15:48","https://www.odds.com.au/greyhounds/healesville-20250425/jason-mckeown-photography-race-9/"
"2025-04-25","Healesville","R10","16:06","https://www.odds.com.au/greyhounds/healesville-20250425/sportsbet-go-the-blue-dog-race-10/"
"2025-04-25","Shepparton","R1","19:08","https://www.odds.com.au/greyhounds/shepparton-20250425/battle-of-line-pine-gallipoli-race-1/"
"2025-04-25","Shepparton","R2","19:30","https://www.odds.com.au/greyhounds/shepparton-20250425/battle-of-the-somme-france-race-2/"
"2025-04-25","Shepparton","R3","19:54","https://www.odds.com.au/greyhounds/shepparton-20250425/battle-of-the-coral-sea-race-3/"
"2025-04-25","Shepparton","R4","20:18","https://www.odds.com.au/greyhounds/shepparton-20250425/kokoda-track-campaign-new-guinea-race-4/"
"2025-04-25","Shepparton","R5","20:38","https://www.odds.com.au/greyhounds/shepparton-20250425/battle-of-kapyong-korea-race-5/"
"2025-04-25","Shepparton","R6","21:02","https://www.odds.com.au/greyhounds/shepparton-20250425/battle-of-long-tan-vietnam-race-6/"
"2025-04-25","Shepparton","R7","21:26","https://www.odds.com.au/greyhounds/shepparton-20250425/battle-of-coral-balmoral-vietnam-race-7/"
"2025-04-25","Shepparton","R8","21:46","https://www.odds.com.au/greyhounds/shepparton-20250425/operation-slipper-afghanistan-race-8/"
"2025-04-25","Shepparton","R9","22:01","https://www.odds.com.au/greyhounds/shepparton-20250425/operational-highroad-afghanistan-race-9/"
"2025-04-25","Shepparton","R10","22:16","https://www.odds.com.au/greyhounds/shepparton-20250425/australian-peacekeepers-race-10/"
"2025-04-25","Shepparton","R11","22:31","https://www.odds.com.au/greyhounds/shepparton-20250425/sportsbet-make-it-look-easy-race-11/"
"2025-04-25","Shepparton","R12","22:46","https://www.odds.com.au/greyhounds/shepparton-20250425/sportsbet-go-the-blue-dog-race-12/"
"2025-04-25","Cannington","R10","00:12","https://www.odds.com.au/greyhounds/cannington-20250424/tommy-shelby-at-stud-race-10/"
"2025-04-25","Cannington","R11","00:27","https://www.odds.com.au/greyhounds/cannington-20250424/auto-owls-bentley-race-11/"
"2025-04-25","Cannington","R12","00:52","https://www.odds.com.au/greyhounds/cannington-20250424/all-torque-engineering-race-12/"
"2025-04-25","Wagga","R1","19:06","https://www.odds.com.au/greyhounds/wagga-20250425/ladbrokes-mates-mode-pots-race-1/"
"2025-04-25","Wagga","R2","19:29","https://www.odds.com.au/greyhounds/wagga-20250425/ladbrokes-punter-assist-race-2/"
"2025-04-25","Wagga","R3","19:51","https://www.odds.com.au/greyhounds/wagga-20250425/ladbrokes-bet-ticker-maiden-race-3/"
"2025-04-25","Wagga","R4","20:11","https://www.odds.com.au/greyhounds/wagga-20250425/zatoma-transport-5th-grade-ht-1-race-4/"
"2025-04-25","Wagga","R5","20:35","https://www.odds.com.au/greyhounds/wagga-20250425/lake-village-butchery-5th-grade-ht-2-race-5/"
"2025-04-25","Wagga","R6","20:59","https://www.odds.com.au/greyhounds/wagga-20250425/bowyer-air-5th-grade-heat-3-race-6/"
"2025-04-25","Wagga","R7","21:19","https://www.odds.com.au/greyhounds/wagga-20250425/interior-constructions-5th-grade-ht-4-race-7/"
